run_id,question_id,question,benchmark_category,question_type,expected_answer_type,model,embedding_name,embedding_model,collection,top_k_per_type,max_context_records,selected_record_types,retrieved_sources,expected_sources,cited_sources,invalid_cited_sources,expected_keywords,must_not_include,retrieval_time_seconds,generation_time_seconds,total_latency_seconds,eval_count,eval_duration,prompt_eval_count,prompt_eval_duration,tokens_per_second,prompt_char_count,context_char_count,answer_word_count,keyword_score,source_score,must_not_include_violations,not_enough_info,not_enough_info_expected,not_enough_info_correct,overall_auto_score,answer,manual_accuracy_0_1,manual_hallucination_0_1,manual_citation_quality_0_1,manual_notes
20260509_013326,q001,Why was the surgical light work order cancelled?,Core semantic retrieval/extraction,,specific_reason,qwen3:1.7b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"work_orders,equipment,claims","work_orders_136,work_orders_76,work_orders_56,claims_536,claims_596,claims_636,equipment_55,equipment_91,equipment_19",work_orders_136,work_orders_136,,cancelled|higher priority|same equipment,probably|maybe,4.513,8.786,13.299,251,2508747700,2761,631716600,100.05,9096,8217,56,1.0,1.0,0,False,False,,1.0,"The surgical light work order **work_orders_136** was cancelled because the issue was merged into a higher priority work order for the same equipment. This is explicitly stated in the cancellation_notes: ""Cancelled because the issue was merged into a higher priority work order for the same equipment."" 

No other work orders explicitly mention cancellation reasons. 

**Source:** work_orders_136",,,,
20260509_013326,q001,Why was the surgical light work order cancelled?,Core semantic retrieval/extraction,,specific_reason,qwen3:4b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"work_orders,equipment,claims","work_orders_136,work_orders_76,work_orders_56,claims_536,claims_596,claims_636,equipment_55,equipment_91,equipment_19",work_orders_136,work_orders_136,,cancelled|higher priority|same equipment,probably|maybe,4.513,23.004,27.519,737,14184313500,2761,1446569900,51.959,9096,8217,26,1.0,1.0,0,False,False,,1.0,"The surgical light work order (work_orders_136) was cancelled because the issue was merged into a higher priority work order for the same equipment.

Source ID: work_orders_136",,,,
20260509_013326,q001,Why was the surgical light work order cancelled?,Core semantic retrieval/extraction,,specific_reason,qwen3:8b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"work_orders,equipment,claims","work_orders_136,work_orders_76,work_orders_56,claims_536,claims_596,claims_636,equipment_55,equipment_91,equipment_19",work_orders_136,work_orders_136,,cancelled|higher priority|same equipment,probably|maybe,4.513,40.749,45.263,223,25150512600,2761,3859127300,8.867,9096,8217,23,1.0,1.0,0,False,False,,1.0,"The work order was cancelled because the issue was merged into a higher priority work order for the same equipment.  
**Source ID:** work_orders_136",,,,
20260509_013326,q001,Why was the surgical light work order cancelled?,Core semantic retrieval/extraction,,specific_reason,phi4-mini:3.8b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"work_orders,equipment,claims","work_orders_136,work_orders_76,work_orders_56,claims_536,claims_596,claims_636,equipment_55,equipment_91,equipment_19",work_orders_136,work_orders_136,,cancelled|higher priority|same equipment,probably|maybe,4.513,12.094,16.608,76,1221346200,2386,1027340300,62.226,9096,8217,63,1.0,1.0,0,True,False,,0.9,"I do not have enough information in the database. The provided context only indicates that WO 136, which involved a loose handle on Surgical Light asset ID '153', was canceled because it merged into a higher priority work order for the same equipment (Source ID: work_orders_136). There is no direct mention of why other surgical light related work orders were cancelled or not.",,,,
20260509_013326,q001,Why was the surgical light work order cancelled?,Core semantic retrieval/extraction,,specific_reason,gemma3:4b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"work_orders,equipment,claims","work_orders_136,work_orders_76,work_orders_56,claims_536,claims_596,claims_636,equipment_55,equipment_91,equipment_19",work_orders_136,"equipment_153,work_orders_136",equipment_153,cancelled|higher priority|same equipment,probably|maybe,4.513,13.858,18.371,46,1457594700,2925,1575201600,31.559,9096,8217,26,1.0,1.0,0,False,False,,1.0,The surgical light work order (WO 136) was cancelled because the issue was merged into a higher priority work order for the same equipment (equipment_153). [work_orders_136],,,,
20260509_013326,q002,Which task is waiting for an oxygen cell?,Core semantic retrieval/extraction,,specific_record,qwen3:1.7b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"tasks,work_orders","tasks_131,tasks_11,tasks_251,work_orders_104,work_orders_4,work_orders_224",tasks_11,"tasks_11,tasks_131",,oxygen cell|waiting|blocked,UPS battery,3.546,10.87,14.416,385,3662493000,1805,415296800,105.12,5939,5113,61,1.0,1.0,0,False,False,,1.0,"The tasks waiting for an oxygen cell are **tasks_131** and **tasks_11**. Both are blocked due to insufficient stock of the oxygen cell.  

- **tasks_131**: Blocked reason: ""Waiting for Oxygen cell from spare parts store; current stock is below minimum level.""  
- **tasks_11**: Blocked reason: ""Waiting for Oxygen cell from spare parts store; current stock is below minimum level.""  

Sources: tasks_131, tasks_11.",,,,
20260509_013326,q002,Which task is waiting for an oxygen cell?,Core semantic retrieval/extraction,,specific_record,qwen3:4b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"tasks,work_orders","tasks_131,tasks_11,tasks_251,work_orders_104,work_orders_4,work_orders_224",tasks_11,"tasks_11,tasks_131",,oxygen cell|waiting|blocked,UPS battery,3.546,21.972,25.518,741,13740346500,1805,925547000,53.929,5939,5113,34,1.0,1.0,0,False,False,,1.0,"The tasks waiting for an oxygen cell are tasks_131 and tasks_11. Both have the blocked reason: ""Waiting for Oxygen cell from spare parts store; current stock is below minimum level."" 

Source IDs: tasks_131, tasks_11",,,,
20260509_013326,q002,Which task is waiting for an oxygen cell?,Core semantic retrieval/extraction,,specific_record,qwen3:8b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"tasks,work_orders","tasks_131,tasks_11,tasks_251,work_orders_104,work_orders_4,work_orders_224",tasks_11,"tasks_11,tasks_131",,oxygen cell|waiting|blocked,UPS battery,3.546,45.642,49.189,307,31028914300,1805,2538340900,9.894,5939,5113,42,1.0,1.0,0,False,False,,1.0,"The tasks waiting for an oxygen cell are:  
- **tasks_131** (blocked due to low stock of oxygen cell)  
- **tasks_11** (blocked for the same reason).  

Both tasks are blocked because the oxygen cell is unavailable from spare parts.  

Source IDs: tasks_131, tasks_11.",,,,
20260509_013326,q002,Which task is waiting for an oxygen cell?,Core semantic retrieval/extraction,,specific_record,phi4-mini:3.8b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"tasks,work_orders","tasks_131,tasks_11,tasks_251,work_orders_104,work_orders_4,work_orders_224",tasks_11,"tasks_11,tasks_131",,oxygen cell|waiting|blocked,UPS battery,3.546,12.384,15.93,117,1841031500,1562,690239300,63.551,5939,5113,99,0.667,1.0,0,True,False,,0.767,"I do not have enough information in the database to determine which specific work order or tasks are currently awaiting a replacement of an oxygen cell based on their descriptions alone, as multiple entries mention replacing and calibrating but lack explicit confirmation that they require new stock. The records provided (tasks_131, tasks_11) both describe corrective actions involving ""Replace oxygen cell,"" indicating potential need for spare parts; however, without direct reference to a current shortage or pending order status in the database context given, I cannot conclusively identify which task is waiting specifically due to an insufficient supply of stock.",,,,
20260509_013326,q002,Which task is waiting for an oxygen cell?,Core semantic retrieval/extraction,,specific_record,gemma3:4b,nomic,nomic-embed-text,maintenance_records_nomic,3,10,"tasks,work_orders","tasks_131,tasks_11,tasks_251,work_orders_104,work_orders_4,work_orders_224",tasks_11,"tasks_11,tasks_131",,oxygen cell|waiting|blocked,UPS battery,3.546,12.367,15.914,41,1259966900,1928,922351300,32.541,5939,5113,24,0.667,1.0,0,False,False,,0.867,"Tasks 131 and 11 are waiting for an oxygen cell from the spare parts store due to low stock levels.
Source IDs: tasks_131, tasks_11",,,,
